ensembl	uniprot	cluster.cold	cluster.ctrl	description
Zm00001eb004670	B8A239	4	15	Heat stress transcription factor A-6b
Zm00001eb006160	B4FIY3	12	10	AP2-EREBP transcription factor
Zm00001eb006480	B4FM71	5	NA	MADS-box transcription factor 47
Zm00001eb008690	A0A804LG47	1	NA	Uncharacterized protein
Zm00001eb010190	C0PE09	1	NA	BZIP transcription factor 16
Zm00001eb018460	B8A2P8	1	NA	BHLH transcription factor (Transcription factor bHLH47)
Zm00001eb020400	A0A804LM09	4	NA	WRKY domain-containing protein
Zm00001eb027720	C4J9P5	4	NA	Uncharacterized protein
Zm00001eb027860	B4FY39	5	NA	Homeobox-leucine zipper protein (HD-ZIP protein) (Homeodomain transcription factor)
Zm00001eb028610	C0PN75	10	NA	MYB transcription factor (MYB-transcription factor 100)
Zm00001eb031210	B4FYB5	6	1	BZIP transcription factor (Basic leucine zipper 25)
Zm00001eb031310	A0A804LRM6	12	NA	CRC domain-containing protein
Zm00001eb031690	B6TY54	4	15	Nuclear transcription factor Y subunit
Zm00001eb033910	B6UA50	1	6	Nuclear transcription factor Y subunit C-2
Zm00001eb045630	A0A804LYJ5	9	NA	Homeobox-leucine zipper protein REVOLUTA
Zm00001eb048440	A0A1D6KVR5	12	NA	Homeobox-leucine zipper protein (HD-ZIP protein) (Homeodomain transcription factor)
Zm00001eb050790	A0A804M0W1	4	NA	BHLH domain-containing protein
Zm00001eb051480	A0A1D6KXT4	5	3	LOB domain-containing protein 28
Zm00001eb051900	A0A096PXB1	9	NA	BEL1-like homeodomain protein 3
Zm00001eb055700	A0A060D4M4	10	NA	GRAS transcription factor (Scarecrow-like protein 7)
Zm00001eb066270	A0A1D6DTG4	5	14	B3 domain-containing transcription factor LEC2
Zm00001eb069700	A0A1D6DXM8	11	NA	Transcription factor bHLH112
Zm00001eb070890	A0A804MAI0	12	NA	MADS-box transcription factor 31
Zm00001eb071920	A0A804MAZ6	11	NA	HTH myb-type domain-containing protein
Zm00001eb074460	C0P581	13	NA	Scarecrow-like protein 6
Zm00001eb075900	A0A060D6Q3	9	NA	AP2-EREBP transcription factor (Ethylene-responsive transcription factor ERF053)
Zm00001eb092180	A0A1D6EHW9	12	NA	Transcription factor LHW
Zm00001eb094740	B7ZY75	12	10	GAGA-binding transcriptional activator
Zm00001eb102780	B4FK42	2	NA	BZIP transcription factor (Putative transcription factor PosF21)
Zm00001eb106620	C0PJM5	11	4	BHLH transcription factor (Male sterile32) (Transcription factor DYT1)
Zm00001eb107920	C0P6R0	9	6	WRKY transcription factor
Zm00001eb111310	A0A804MTZ8	6	NA	Uncharacterized protein
Zm00001eb112840	A0A1D6F5K4	10	5	Putative WRKY transcription factor 75
Zm00001eb117360	A0A804MWN2	3	12	Uncharacterized protein
Zm00001eb119270	B4FWD1	7	NA	Transcription factor bHLH133
