ensembl	uniprot	cluster.cold	cluster.ctrl	description
Zm00001eb000470	A0A060CVG2	1	NA	GRAS transcription factor (Scarecrow-like protein 6)
Zm00001eb004190	A0A1D6JNY1	6	NA	Transcription factor Dp-1
Zm00001eb004590	A0A1D6JPB8	5	3	SH2 domain protein B
Zm00001eb005740	A0A1D6JQB7	5	7	AP2-EREBP-type transcription factor
Zm00001eb006060	A0A1D6JQK0	3	NA	Transcription factor ILR3
Zm00001eb006700	A0A096S6J0	9	NA	Homeobox-leucine zipper protein (HD-ZIP protein) (Homeodomain transcription factor)
Zm00001eb007000	B4FKR7	1	5	AP2-EREBP transcription factor (Ethylene-responsive transcription factor ERF055)
Zm00001eb008690	A0A804LG47	2	NA	Uncharacterized protein
Zm00001eb009170	A0A1D6JU40	10	6	HSF-type DNA-binding domain-containing protein
Zm00001eb010890	A0A1D6JWA5	4	NA	RAD-like 3
Zm00001eb012080	A0A1D6JXR4	1	NA	AT-hook motif nuclear-localized protein
Zm00001eb012130	A0A096RK86	6	7	RNA polymerase sigma factor
Zm00001eb015750	A0A804LJN3	8	2	HTH myb-type domain-containing protein
Zm00001eb023620	A0A1D6K8L3	1	NA	Homeobox-leucine zipper protein HAT4
Zm00001eb024680	G2J5R8	5	7	Homeodomain leucine zipper family IV protein
Zm00001eb025650	B6TAL5	4	NA	HB transcription factor (Homeobox-leucine zipper protein HAT22) (Homeobox-leucine zipper protein HAT3)
Zm00001eb027720	C4J9P5	10	6	Uncharacterized protein
Zm00001eb027860	B4FY39	1	NA	Homeobox-leucine zipper protein (HD-ZIP protein) (Homeodomain transcription factor)
Zm00001eb031300	B6TRQ5	10	NA	Protein tesmin/TSO1-like CXC 4 (Tesmin/TSO1-like CXC domain containing protein)
Zm00001eb031310	A0A804LRM6	5	7	CRC domain-containing protein
Zm00001eb031990	A0A804LRZ6	7	4	Nuclear transcription factor Y subunit
Zm00001eb032870	A0A1D6KGU5	1	NA	BZIP transcription factor family protein expressed
Zm00001eb036630	A0A804LU23	9	NA	MADS-box domain-containing protein
Zm00001eb050860	A0A1D6KXC7	7	NA	Protein tesmin/TSO1-like CXC 2
Zm00001eb051900	A0A096PXB1	4	6	BEL1-like homeodomain protein 3
Zm00001eb054480	Q9ST48	1	NA	DELLA protein DWARF8 (Protein dwarf-8)
Zm00001eb055940	A0A1D6L2Y9	4	NA	Knotted 1-type homeobox protein 3
Zm00001eb056780	Q32SG4	10	6	Protein WRKY1 (WRKY DNA-binding protein 1)
Zm00001eb057820	B4F7V7	1	NA	Putative WRKY transcription factor 57
Zm00001eb058460	B6TAS1	4	NA	DNA binding protein (G2-like transcription factor)
