ensembl	uniprot	cluster.cold	cluster.ctrl	description
Zm00001eb002760	A0A1D6JMX4	1	6	Cytochrome P450 CYP78A55
Zm00001eb003210	A0A804LDC6	4	6	CCT domain-containing protein
Zm00001eb003520	A0A1D6JNE6	5	7	Subtilisin-like protease SBT1.2
Zm00001eb005500	A0A1D6JQ58	9	8	Transcription factor PRE3
Zm00001eb005600	C0PAF4	6	4	E3 ubiquitin ligase BIG BROTHER
Zm00001eb008380	C0P342	6	7	Protein UPSTREAM OF FLC
Zm00001eb008690	A0A804LG47	2	NA	Uncharacterized protein
Zm00001eb009500	A0A1D6JU93	9	NA	Short hypocotyl in white light1
Zm00001eb018350	C4J9J4	6	NA	RNA-binding KH domain-containing protein
Zm00001eb021340	A0A1D6K6X8	7	4	non-specific serine/threonine protein kinase (EC 2.7.11.1)
Zm00001eb031400	A0A1D6KFZ0	10	NA	Sulfurtransferase
Zm00001eb032320	A0A1D6KGN0	7	4	Putative pentatricopeptide repeat-containing protein
Zm00001eb037120	Q3LXA7	5	7	Retinoblastoma-related protein 3 (ZmRBR3)
Zm00001eb037700	B6SKK3	5	7	DNA polymerase epsilon subunit (DNA polymerase II subunit 2)
Zm00001eb039870	A0A804LVM1	2	NA	Uncharacterized protein
Zm00001eb039880	A0A804LVM2	2	1	DUF241 domain protein
Zm00001eb039930	B6U6K4	4	NA	Uncharacterized protein
Zm00001eb041470	A0A1D6KP33	3	NA	Polypyrimidine tract-binding protein homolog 1
Zm00001eb043930	C4JA66	4	NA	Aspergillus nuclease S1 (EC 3.1.30.1)
Zm00001eb045640	C0HDR1	7	4	Auxin response factor
Zm00001eb049610	C0PFU3	7	4	Guanine nucleotide-binding protein-like NSN1
Zm00001eb052070	C4J2M4	6	7	Growth-regulating factor
Zm00001eb058550	A0A1D6L619	8	NA	CCG-binding protein 1
Zm00001eb064610	A0A804M7G6	6	7	FRIGIDA-like protein
Zm00001eb065780	A0A1D6DSU2	5	NA	K(+) efflux antiporter 2 chloroplastic
Zm00001eb068240	A0A1D6DW00	7	NA	Alpha-N-acetylglucosaminidase (EC 3.2.1.50)
Zm00001eb071830	A0A1D6E0P2	6	7	Growth-regulating factor
Zm00001eb075200	A0A1D6E4E3	4	5	Metal-nicotianamine transporter YSL2
Zm00001eb075210	A0A804MCH5	4	NA	OJ000126_13.10 protein
Zm00001eb080110	A0A804MEV2	1	5	Cytochrome P450 724B1 ((22S)-22-hydroxycampesterol synthase)
Zm00001eb087670	B6SKC6	6	6	RING-type E3 ubiquitin transferase (EC 2.3.2.27)
Zm00001eb094390	B4FTU1	9	1	FRIGIDA-like protein
Zm00001eb094880	A0A1D6EKY0	4	NA	sterol 3beta-glucosyltransferase (EC 2.4.1.173)
Zm00001eb097790	A0A1D6ENT5	3	NA	leucine--tRNA ligase (EC 6.1.1.4) (Leucyl-tRNA synthetase)
Zm00001eb102420	A0A804MPN7	7	4	HORMA domain-containing protein
Zm00001eb103310	A0A8J8XC71	1	NA	Cytochrome P450 family 78 subfamily A polypeptide 8
Zm00001eb105710	C4J0D0	6	NA	Hydrolase/ protein serine/threonine phosphatase
Zm00001eb109820	A0A1D6F243	6	NA	Myb domain protein 88
Zm00001eb111910	A0A1D6F4V9	6	NA	26S proteasome regulatory subunit 4 homolog A
Zm00001eb115530	A0A1D6F7V5	8	NA	Nodulin homeobox
Zm00001eb115560	A0A804MVW4	8	NA	Nodulin homeobox homeobox-like domain-containing protein
Zm00001eb116590	B6TRJ7	9	8	Splicing factor U2af 38 kDa subunit (Splicing factor U2af small subunit A)
Zm00001eb117030	A0A1D6F978	9	8	FRIGIDA-like protein
Zm00001eb120710	A0A1D6MHD4	3	3	Agamous-like MADS-box protein AGL5
Zm00001eb120890	C4IZQ0	4	NA	Cytochrome P450 90D2 (3-dehydro-6-deoxoteasterone synthase)
Zm00001eb122920	C0PH62	5	7	non-specific serine/threonine protein kinase (EC 2.7.11.1)
Zm00001eb124790	A0A1D6MLR7	3	3	MADS-box transcription factor 56
Zm00001eb127820	B6U460	1	3	FPF1
Zm00001eb131510	A0A1D6MSZ3	1	NA	Exocyst complex component
Zm00001eb134520	C0PJE0	6	NA	Putative axial regulator YABBY 2
Zm00001eb140700	A0A804N7E9	10	8	Amidohydrolase 3 domain-containing protein
Zm00001eb142180	A0A804N818	6	NA	Luminidependens protein1
Zm00001eb144760	A0A1D6N4X3	5	7	60S ribosomal protein L5-1 homolog a
Zm00001eb144770	C4J4B7	7	4	Rhodanese/Cell cycle control phosphatase superfamily protein
Zm00001eb146780	A0A1D6N6H1	2	1	Actin-1
Zm00001eb148360	A0A804NB49	8	NA	FAS1 domain-containing protein
Zm00001eb148750	A0A1D6N7N8	1	NA	CCT motif family protein
Zm00001eb153000	C4PJN4	1	6	Carotenoid cleavage dioxygenase
Zm00001eb153520	B8A2B3	4	6	Transcription factor VOZ1
Zm00001eb153710	B6SP44	9	NA	glutamate carboxypeptidase II (EC 3.4.17.21)
Zm00001eb154730	A0A1D6NDP8	5	7	non-specific serine/threonine protein kinase (EC 2.7.11.1)
Zm00001eb157150	A0A1D6NG47	5	7	1,3-beta-glucan synthase (EC 2.4.1.34) (1,3-beta-glucan synthase)
Zm00001eb159140	C0P571	6	NA	Glycerol-3-phosphate acyltransferase 1
Zm00001eb163070	A0A1D6NP15	6	NA	Nucleoporin autopeptidase
Zm00001eb164030	B4G1W8	5	7	Myosin-like protein (Protein FLX-like 3)
Zm00001eb167820	C0P3M9	4	NA	Leucine-rich receptor-like protein kinase family protein
Zm00001eb169890	K7TW19	1	NA	p21-Rho-binding domain containing protein
Zm00001eb170050	A0A804NLS5	4	NA	Uncharacterized protein
Zm00001eb170520	K7TSH2	10	8	non-specific serine/threonine protein kinase (EC 2.7.11.1)
Zm00001eb170920	C0PJC1	9	NA	Orphans transcription factor (Zinc finger protein CONSTANS-LIKE 5)
Zm00001eb175830	A0A804NPD9	8	2	Ubiquitin carboxyl-terminal hydrolase (EC 3.4.19.12)
Zm00001eb181410	A8WER4	3	NA	ZCN2
Zm00001eb181570	A0A979HK26	1	NA	Uncharacterized protein
Zm00001eb185290	D9HNU2	10	NA	Auxin response factor
Zm00001eb188840	A0A1D6Q8H7	7	NA	AT-hook motif nuclear-localized protein 29
Zm00001eb191940	C0PFJ8	1	5	GATA transcription factor 8
Zm00001eb192940	A0A1D6QD78	5	7	Protein TONSOKU
Zm00001eb193490	K7UKV2	10	NA	Protein CPR-5
Zm00001eb196710	B6TUW8	9	8	Phytosulfokine [Cleaved into: Phytosulfokine-alpha (PSK-alpha) (Phytosulfokine-a); Phytosulfokine-beta (PSK-beta) (Phytosulfokine-b)]
Zm00001eb200140	K7U8D7	6	NA	Sialyltransferase-like protein 1
Zm00001eb204920	B4F9G4	6	NA	non-specific serine/threonine protein kinase (EC 2.7.11.1)
Zm00001eb210970	C0PGC5	3	6	Shaggy-related protein kinase kappa
Zm00001eb212930	B6U846	4	NA	BHLH transcription factor (Transcription factor bHLH7)
Zm00001eb213580	A0A804P7I9	9	NA	Pentatricopeptide repeat-containing protein
Zm00001eb213770	A0A1D6GGA2	5	7	non-specific serine/threonine protein kinase (EC 2.7.11.1)
Zm00001eb215430	A0A804P8B6	5	7	Pep3/Vps18/deep orange beta-propeller domain-containing protein
Zm00001eb216880	A0A804P8V8	5	NA	Oleosin
Zm00001eb218500	B4FY22	5	7	C2C2-YABBY transcription factor
Zm00001eb219400	A0A1D6GM04	6	NA	FRIGIDA-like protein
Zm00001eb220480	B6SI11	4	5	Actin-1
Zm00001eb223090	C0PLM1	10	NA	Leucine-rich repeat-containing N-terminal plant-type domain-containing protein
Zm00001eb228140	P0DL10	4	6	Leucine-rich repeat receptor-like kinase protein THICK TASSEL DWARF1 (EC 2.7.11.1) (CLAVATA1-like protein) (CLV1 related kinase 5) (ZmKIN5)
Zm00001eb230130	Q2WBH7	3	3	Sialyltransferase-like protein
Zm00001eb230310	C0HG18	7	4	Glutamate--tRNA ligase, chloroplastic/mitochondrial (EC 6.1.1.17) (Glutamyl-tRNA synthetase)
Zm00001eb231080	A0A804PEC4	9	NA	Pentatricopeptide repeat-containing protein
Zm00001eb236120	A0A060D6F1	4	6	GRAS transcription factor (Scarecrow-like protein 18)
Zm00001eb238230	B4FVL9	4	6	AT-rich element binding factor 3 (Abscisic acid receptor PYL10) (Abscisic acid receptor PYL9) (Pyrabactin resistance-like protein)
Zm00001eb238350	B4FUV5	2	1	AT-hook motif nuclear-localized protein 26
Zm00001eb238890	B7ZX00	3	NA	non-specific serine/threonine protein kinase (EC 2.7.11.1)
Zm00001eb242750	A0A1D6H9X6	1	NA	Germin-like protein
Zm00001eb246990	A0A804PLC3	6	NA	Sister chromatid cohesion protein PDS5 B-B
Zm00001eb247000	Q38JE7	9	8	Temperature-induced lipocalin-1
Zm00001eb248640	B4FG85	5	7	Axial regulator YABBY 1 (Yabby15 protein)
Zm00001eb249020	A0A1D6HET4	4	6	Iron-phytosiderophore transporter yellow stripe 1
Zm00001eb250150	A0A804PLD9	1	NA	DUF241 domain protein
