ensembl	uniprot	cluster.cold	cluster.ctrl	description
Zm00001eb001430	A0A1D6JLI8	9	2	1,3-beta-glucan synthase (EC 2.4.1.34) (1,3-beta-glucan synthase)
Zm00001eb002100	A0A1R3LAC8	3	NA	1,3-beta-glucan synthase (EC 2.4.1.34) (1,3-beta-glucan synthase)
Zm00001eb002930	A0A1D6JMZ4	6	7	Pentatricopeptide repeat-containing protein chloroplastic
Zm00001eb003550	A0A804LDH8	9	NA	CYRIA/CYRIB Rac1 binding domain-containing protein
Zm00001eb008310	B7ZYB8	10	NA	FRIGIDA-like protein
Zm00001eb008690	A0A804LG47	1	NA	Uncharacterized protein
Zm00001eb009500	A0A1D6JU93	8	NA	Short hypocotyl in white light1
Zm00001eb012980	A0A1D6JYP0	13	14	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
Zm00001eb014030	A0A1D6JZV9	9	NA	Protein DEFECTIVE KERNEL 1
Zm00001eb026200	A0A1D6KBF1	7	NA	1,3-beta-glucan synthase (EC 2.4.1.34) (1,3-beta-glucan synthase)
Zm00001eb037700	B6SKK3	12	NA	DNA polymerase epsilon subunit (DNA polymerase II subunit 2)
Zm00001eb039880	A0A804LVM2	5	NA	DUF241 domain protein
Zm00001eb043930	C4JA66	7	14	Aspergillus nuclease S1 (EC 3.1.30.1)
Zm00001eb047560	B4FA01	6	7	Pentatricopeptide repeat-containing protein
Zm00001eb063720	B4FVB1	5	NA	Actin-1
Zm00001eb063780	A0A1D6LAQ8	10	5	Cytochrome P450 family 722 subfamily A polypeptide 1
Zm00001eb066640	A0A1D6DTV9	5	NA	Auxin response factor
Zm00001eb073620	A0A804MBQ3	9	1	RING-type domain-containing protein
Zm00001eb078440	O24575	4	15	S-adenosylmethionine decarboxylase proenzyme (AdoMetDC) (SAMDC) (EC 4.1.1.50) [Cleaved into: S-adenosylmethionine decarboxylase alpha chain; S-adenosylmethionine decarboxylase beta chain]
Zm00001eb079590	B8A2N4	1	NA	Transglutaminase21
Zm00001eb092070	C0HDZ6	4	15	Actin-1
Zm00001eb094000	A0A1D6EJ18	6	7	BcpLH protein
Zm00001eb094390	B4FTU1	9	NA	FRIGIDA-like protein
Zm00001eb094880	A0A1D6EKY0	9	NA	sterol 3beta-glucosyltransferase (EC 2.4.1.173)
Zm00001eb103370	B7ZWS9	4	15	B-box zinc finger protein 19 (Orphans transcription factor)
Zm00001eb104290	A0A1D6EUI5	8	NA	valine--tRNA ligase (EC 6.1.1.9) (Valyl-tRNA synthetase)
Zm00001eb107900	A0A1D6EZP2	6	NA	mTERF family protein
Zm00001eb108570	A0A1D6F0N8	9	NA	histone deacetylase (EC 3.5.1.98)
Zm00001eb113470	A0A1D6F691	9	NA	Retinoblastoma-related protein 1
Zm00001eb120740	B4FZE2	6	1	ORPHAN transcription factor
Zm00001eb122110	A0A1D6MIW7	6	1	Gigantea2
Zm00001eb124060	A0A1D6ML90	3	12	Receptor kinase-like protein Xa21 (EC 2.7.11.1)
Zm00001eb127490	A0A1D6MPI5	4	15	non-specific serine/threonine protein kinase (EC 2.7.11.1)
Zm00001eb132130	B6TJ06	12	NA	Glycosyltransferase family 28 C-terminal domain containing protein (UDP-Glycosyltransferase superfamily protein)
Zm00001eb132880	A0A804N3V2	9	5	ubiquitinyl hydrolase 1 (EC 3.4.19.12)
Zm00001eb132890	A0A804N3V4	8	NA	Protein RETICULATA-RELATED 1, chloroplastic
Zm00001eb136900	B4FS20	8	NA	Translation elongation factor EF1B/ribosomal protein S6 family protein
Zm00001eb139570	B6T6T4	11	4	Phytosulfokine [Cleaved into: Phytosulfokine-alpha (PSK-alpha) (Phytosulfokine-a); Phytosulfokine-beta (PSK-beta) (Phytosulfokine-b)]
Zm00001eb146780	A0A1D6N6H1	2	8	Actin-1
Zm00001eb147220	O49067	3	12	Transcription factor LG2 (Protein LIGULELESS 2) (Protein TGACG (TGA) motif-binding protein LG2)
